president_name,speech_title,speech_date,speech_duration
Benjamin Harrison,Speech Accepting the Republican Nomination,"September 03, 1892",7899
Lyndon B. Johnson,Press Conference,"August 18, 1967",4317
Zachary Taylor,Inaugural Address,"March 05, 1849",1082
Bill Clinton,Victims Rights Announcement,"June 25, 1996",1899
Richard M. Nixon,"""Checkers"" Speech","September 23, 1952",4641
Harry S. Truman,First Speech to Congress,"April 16, 1945",1863
Ronald Reagan,State of the Union Address,"February 04, 1986",3472
Woodrow Wilson,Second Inaugural Address,"March 05, 1917",1420
Jimmy Carter,Statement on the Panama Canal Treaty Signing,"September 07, 1977",691
Rutherford B. Hayes,Message Regarding Central American Canal,"March 08, 1880",538
Herbert Hoover,Campaign speech in St Paul Minnesota,"November 05, 1932",7974
Barack Obama,Acceptance of Nobel Peace Prize,"December 10, 2009",4284
Andrew Johnson,Proclamation on the End of the Confederate Insurrection,"April 02, 1866",1376
Andrew Jackson,Message Regarding Indian Removal,"February 15, 1832",409
Lyndon B. Johnson,Report on the Gulf of Tonkin Incident,"August 04, 1964",544
Joe Biden,First Press Conference,"March 25, 2021",9726
William McKinley,Message Regarding Cuban Civil War,"April 11, 1898",5814
George Washington,First Inaugural Address,"April 30, 1789",1430
Lyndon B. Johnson,Press Conference,"February 04, 1965",4461
James Buchanan,Protest of Congressional Investigations,"March 28, 1860",2402
George W. Bush,Address on Renewal in Iraq,"December 18, 2005",2262
Franklin D. Roosevelt,Fireside Chat 23: On the Home Front,"October 12, 1942",3496
Dwight D. Eisenhower,Farewell Address,"January 17, 1961",1829
John Tyler,Message Regarding the Slave Trade,"February 20, 1845",1089
Jimmy Carter,Debate with Ronald Reagan,"October 28, 1980",15294
Donald Trump,Remarks at the Conservative Political Action Conference,"February 23, 2018",9974
Barack Obama,Remarks on Trayvon Martin,"July 19, 2013",2156
William Taft,Fourth Annual Message,"December 03, 1912",25166
Thomas Jefferson,Seventh Annual Message,"October 27, 1807",2365
Ulysses S. Grant,Message Regarding Virginia Constitution,"April 07, 1869",612
Ronald Reagan,Address to the Nation on Lebanon,"September 20, 1982",1272
Franklin D. Roosevelt,Fireside Chat 26: On the Armistice in Italy,"September 08, 1943",1476
George W. Bush,Address to the Nation on the Department of Homeland Security,"June 06, 2002",1515
Franklin Pierce,Proclamation Addressing Disturbances in Kansas,"February 11, 1856",632
John Tyler,Message Regarding Disturbances in Rhode Island,"April 09, 1844",1959
John F. Kennedy,Remarks to the Graduating Class of the US Naval Academy,"June 07, 1961",1299
Donald Trump,Address at the World Economic Forum,"January 26, 2018",3678
Jimmy Carter,State of the Union Address,"January 23, 1980",3411
